ID da amostra;Diâmetro (mm);Altura (mm);Massa (g);Resistência (kgf);Raio (mm);Volume (mm^3);Densidade ;R (altura/diâmetro);Área base
18;11,58;23;2,5;421;5,79;2421,1105;0,001;1,9862;105,2657
19;11,62;16,26;1,9;500;5,81;1723,4649;0,0011;1,3993;105,9942
34;12,02;18,04;2;556;6,01;2046,0447;0,001;1,5008;113,4171
41;12;21;2,4;538;6;2373,84;0,001;1,75;113,04
50;12,08;20,98;2,5;495;6,04;2403,3057;0,001;1,7368;114,5522
54;12,36;24,5;2,9;525;6,18;2938,1413;0,001;1,9822;119,9241
66;12,28;24,46;2,9;568;6,14;2895,4952;0,001;1,9919;118,3767
84;12,54;24,9;3,1;;6,27;3073,7184;0,001;1,9856;123,4425
88;12,56;18,62;2,4;578;6,28;2305,837;0,001;1,4825;123,8366
90;12,64;24,92;3,1;599;6,32;3125,4449;0,001;1,9715;125,4191
95;12,56;21,84;2,8;603;6,28;2704,5908;0,001;1,7389;123,8366
97;12,62;18,72;2,4;613;6,31;2340,4222;0,001;1,4834;125,0226
98;12,64;21,86;2,7;614;6,32;2741,6623;0,001;1,7294;125,4191
99;12,62;24,9;3,1;570;6,31;3113,0616;0,001;1,9731;125,0226
132;12,86;25,42;3,3;479;6,43;3300,1003;0,001;1,9767;129,823
138;14,06;26,04;3,5;647;7,03;4040,9295;0,0009;1,8521;155,1816
146;13,1;22,62;2,95;637;6,55;3047,2273;0,001;1,7267;134,7139
174;13,32;26,5;3,7;632;6,66;3690,8295;0,001;1,9895;139,2766
233;14,28;24,94;4; ;7,14;3992,294;0,001;1,7465;160,0759
243;14,42;28,3;4,6;636;7,21;4619,4111;0,001;1,9626;163,2301
252;11,32;19,62;1,15;218;5,66;1973,6108;0,0006;1,7332;100,5918
260;13,52;20,2;1,55;260;6,76;2898,5074;0,0005;1,4941;143,4905
;;;;;;;;;
